Product Name,Price (GBP),Converted Price,Currency
A Light in the Attic,51.77,60.05,EUR
Tipping the Velvet,53.74,62.34,EUR
Soumission,50.1,58.12,EUR
Sharp Objects,47.82,55.47,EUR
Sapiens: A Brief History of Humankind,54.23,62.91,EUR
The Requiem Red,22.65,26.27,EUR
The Dirty Little Secrets of Getting Your Dream Job,33.34,38.67,EUR
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,20.8,EUR
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,26.22,EUR
The Black Maria,52.15,60.49,EUR
