Product Name,Price (GBP),Converted Price,Currency
A Light in the Attic,51.77,9095.99,KES
Tipping the Velvet,53.74,9442.12,KES
Soumission,50.1,8802.57,KES
Sharp Objects,47.82,8401.97,KES
Sapiens: A Brief History of Humankind,54.23,9528.21,KES
The Requiem Red,22.65,3979.6,KES
The Dirty Little Secrets of Getting Your Dream Job,33.34,5857.84,KES
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3150.3,KES
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,3970.82,KES
The Black Maria,52.15,9162.75,KES
