Product Name,Price (GBP),Converted Price,Currency
A Light in the Attic,51.77,70.41,USD
Tipping the Velvet,53.74,73.09,USD
Soumission,50.1,68.14,USD
Sharp Objects,47.82,65.04,USD
Sapiens: A Brief History of Humankind,54.23,73.75,USD
The Requiem Red,22.65,30.8,USD
The Dirty Little Secrets of Getting Your Dream Job,33.34,45.34,USD
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,24.38,USD
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,30.74,USD
The Black Maria,52.15,70.92,USD
